id,resturants
360400,134.95
363320,181.75
378460,211.0
382524,187.6
385190,94.0
386744,99.85
386799,269.5
387324,63.58
387666,92.83
387735,123.25
393016,98.68
393682,94.0
394235,386.5
396636,134.95
397034,123.25
397297,240.25
397420,76.44999999999999
398281,211.0
399946,82.3
401836,328.0
403056,123.25
403264,146.64999999999998
403668,148.98999999999998
406926,291.73
408491,146.64999999999998
409293,94.0
411336,240.25
413876,164.2
415304,181.75
418291,123.25
419792,211.0
422040,92.83
424192,357.25
424767,357.25
424889,127.92999999999998
430427,47.19999999999999
430665,269.5
431865,298.75
435776,146.64999999999998
435909,153.67
435946,220.36
436619,105.7
436824,44.86
436916,41.35
437906,386.5
442649,123.25
443646,439.15
446367,82.3
447766,94.0
453255,240.25
454763,92.83
454929,256.63
455734,35.5
455801,53.05
456110,139.63
456190,180.58
456457,345.54999999999995
456526,64.75
457829,222.7
459066,152.5
460036,127.92999999999998
460999,94.0
462454,81.13
467569,340.87
467866,94.0
468613,369.00000000000006
470498,53.05
471712,81.13
472052,187.6
474283,113.89
476527,81.13
476570,81.13
476571,92.83
476899,158.35
476983,76.44999999999999
478053,70.6
478385,134.95
478949,421.6
480549,92.83
481022,123.25
482365,70.6
483485,360.76
489018,193.45
489965,70.6
491942,209.83
491977,170.04999999999998
493177,152.5
494937,560.8299999999999
500845,234.4
501041,328.0
501082,69.42999999999999
501693,92.83
502132,35.5
503790,129.1
504322,187.6
504394,152.5
504437,98.68
505029,181.75
505231,70.6
506121,61.24
510454,146.64999999999998
511960,164.2
515392,211.0
518566,72.94
518960,82.3
521038,111.54999999999998
524111,115.06
525120,134.95
525412,152.5
525523,35.5
526532,94.0
526923,287.04999999999995
527076,181.75
530247,269.5
530431,234.4
530576,85.80999999999999
531258,170.04999999999998
532288,322.15
533168,328.0
533506,92.83
533927,240.25
534897,246.1
535352,96.34
538344,205.15
539160,175.89999999999998
539350,230.89
540057,193.45
540489,44.86
542054,79.96
542203,205.15
544131,69.42999999999999
544331,105.7
546573,562.0
549873,82.3
550288,164.2
550777,222.7
550858,443.83
552141,328.0
553565,117.39999999999998
555206,92.83
560078,322.15
564049,82.3
564184,123.25
564447,199.3
564751,65.91999999999999
566712,102.19
568743,153.67
573612,69.42999999999999
573870,117.39999999999998
577703,94.0
578267,89.32
580323,64.75
583352,117.39999999999998
584122,117.39999999999998
587554,211.0
587740,209.83
591135,123.25
591565,244.93
593000,105.7
593292,170.04999999999998
593320,41.35
594036,328.0
594640,298.75
594732,364.27
595604,47.19999999999999
599595,186.43
606269,268.33
607781,117.39999999999998
607891,117.39999999999998
612936,123.25
613528,70.6
613556,129.1
623423,152.5
624222,136.12
627432,170.04999999999998
628078,99.85
628227,150.16
629770,92.83
629774,181.75
629949,70.6
633950,205.15
634353,267.0
635114,240.25
639781,211.0
640589,796.0
640990,53.05
643591,152.5
643948,47.19999999999999
644833,483.61
644869,69.42999999999999
645075,140.79999999999998
645922,94.0
645942,269.5
647520,250.78
647580,152.5
648047,53.05
649561,134.95
651475,104.53
652515,76.44999999999999
654232,92.83
654612,164.2
657217,69.42999999999999
657727,207.49
659952,92.83
661814,269.5
663608,322.15
664047,607.0
666220,64.75
667375,211.0
668400,35.5
669831,103.36
671633,141.97
675793,79.96
676257,53.05
680104,172.39
680998,123.25
682155,84.63999999999999
683681,186.43
683821,41.35
684808,127.92999999999998
689900,116.23
690849,88.14999999999999
695465,62.41
697499,94.0
697923,64.75
698094,117.39999999999998
698162,41.35
698327,61.24
698514,269.5
700530,246.1
702551,1030.0
